VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2022-01-04 09:55:19,2022-01-04 10:05:08,7,Manhattan,179,Queens,1.44,8.0,10.56,0.0,1.0
2,2022-01-07 18:19:12,2022-01-07 18:31:36,33,Brooklyn,231,Manhattan,2.74,11.5,19.26,0.0,1.0
2,2022-01-09 17:00:33,2022-01-09 17:16:19,97,Brooklyn,217,Manhattan,2.29,12.0,12.8,0.0,2.0
2,2022-01-04 16:48:22,2022-01-04 17:06:10,33,Brooklyn,12,Manhattan,3.23,15.0,23.46,0.0,1.0
1,2022-01-01 22:17:56,2022-01-01 22:38:33,210,Manhattan,210,Manhattan,3.2,15.0,16.3,0.0,2.0
2,2022-01-26 23:09:36,2022-01-26 23:15:01,181,Brooklyn,189,Queens,1.54,6.5,9.75,0.0,1.0
2,2022-01-20 17:16:27,2022-01-20 17:31:15,75,Brooklyn,140,Queens,2.17,11.0,18.66,0.0,1.0
2,2022-01-31 11:17:44,2022-01-31 11:32:58,116,Queens,74,Brooklyn,3.7,14.0,14.8,0.0,2.0
2,2022-01-14 17:11:36,2022-01-14 17:24:03,83,Brooklyn,138,Queens,4.85,15.0,21.0,0.0,1.0
2,2022-01-08 16:46:42,2022-01-08 16:52:53,192,Manhattan,138,Queens,3.87,20.0,24.36,0.0,1.0
2,2022-01-11 09:50:26,2022-01-11 10:13:20,43,Bronx,161,Queens,2.78,15.5,22.86,0.0,1.0
2,2022-01-01 21:17:10,2022-01-01 21:27:08,41,Manhattan,141,Queens,2.63,10.0,16.86,0.0,1.0
2,2022-01-31 16:44:53,2022-01-31 16:52:19,244,Manhattan,243,Manhattan,1.07,6.5,8.3,0.0,1.0
2,2022-01-24 09:59:22,2022-01-24 09:59:33,74,Brooklyn,74,Brooklyn,0.01,2.5,3.3,0.0,2.0
2,2022-01-18 15:39:09,2022-01-18 15:46:26,41,Manhattan,166,Brooklyn,1.06,6.5,7.3,0.0,2.0
2,2022-01-18 11:03:41,2022-01-18 11:20:05,181,Brooklyn,33,Brooklyn,1.33,11.0,11.8,0.0,2.0
2,2022-01-07 16:34:17,2022-01-07 16:47:33,75,Brooklyn,41,Manhattan,2.27,10.5,14.76,0.0,1.0
2,2022-01-18 09:15:50,2022-01-18 09:22:37,41,Manhattan,42,Manhattan,0.92,6.5,7.3,0.0,2.0
2,2022-01-18 15:33:00,2022-01-18 15:54:00,25,Manhattan,211,Manhattan,3.5,17.3,24.81,0.0,
2,2022-01-19 18:15:13,2022-01-19 18:22:52,74,Brooklyn,41,Manhattan,1.24,7.0,8.8,0.0,2.0
2,2022-01-27 06:40:37,2022-01-27 07:01:03,33,Brooklyn,161,Queens,7.34,23.0,33.19,0.0,1.0
1,2022-01-11 19:23:53,2022-01-11 19:30:48,43,Bronx,238,Manhattan,1.2,7.0,10.55,0.0,1.0
2,2022-01-09 14:37:01,2022-01-09 14:37:08,97,Brooklyn,97,Brooklyn,0.0,10.0,11.3,0.0,1.0
2,2022-01-18 11:02:49,2022-01-18 11:06:25,97,Brooklyn,97,Brooklyn,0.41,4.5,6.36,0.0,1.0
2,2022-01-16 17:56:43,2022-01-16 18:10:17,74,Brooklyn,236,Queens,2.48,11.0,16.01,0.0,1.0
2,2022-01-13 12:48:39,2022-01-13 13:53:48,95,Brooklyn,135,Queens,5.37,40.5,41.3,0.0,2.0
1,2022-01-02 01:42:14,2022-01-02 01:45:16,74,Brooklyn,74,Brooklyn,0.9,4.5,5.8,0.0,2.0
1,2022-01-03 14:51:00,2022-01-03 15:14:46,116,Queens,78,Brooklyn,0.0,21.2,22.0,0.0,1.0
1,2022-01-05 10:06:24,2022-01-05 10:43:18,63,Brooklyn,90,Brooklyn,0.0,33.2,40.55,6.55,1.0
2,2022-01-18 12:53:23,2022-01-18 13:12:44,74,Brooklyn,239,Manhattan,3.25,15.0,22.26,0.0,1.0
2,2022-01-07 23:26:26,2022-01-07 23:33:29,181,Brooklyn,189,Queens,1.12,7.0,8.3,0.0,2.0
2,2022-01-15 10:17:24,2022-01-15 10:25:44,42,Manhattan,152,Queens,1.26,7.5,9.8,0.0,1.0
2,2022-01-11 09:28:12,2022-01-11 09:41:09,166,Brooklyn,236,Queens,2.3,11.0,18.19,0.0,1.0
2,2022-01-21 14:55:00,2022-01-21 15:31:00,169,Queens,41,Manhattan,5.3,35.7,36.0,0.0,
2,2022-01-09 21:55:45,2022-01-09 22:01:29,75,Brooklyn,238,Manhattan,1.13,6.5,7.88,0.0,1.0
2,2022-01-13 16:13:15,2022-01-13 16:20:22,82,Brooklyn,129,Queens,0.91,6.5,8.3,0.0,2.0
