VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2022-12-12 07:45:32,2022-12-12 07:58:51,143,Queens,142,Queens,1.74,10.0,16.3,0.0,1
1,2022-12-11 13:49:22,2022-12-11 14:14:37,238,Manhattan,229,Manhattan,3.6,17.5,24.95,0.0,1
2,2022-12-23 15:52:58,2022-12-23 16:20:02,88,Brooklyn,237,Manhattan,6.25,32.4,36.4,0.0,1
2,2022-12-02 16:39:59,2022-12-02 16:44:10,142,Queens,142,Queens,0.63,5.0,11.16,0.0,1
2,2022-12-17 01:14:58,2022-12-17 01:36:06,249,Manhattan,189,Queens,4.26,17.5,25.56,0.0,1
1,2022-12-31 03:34:28,2022-12-31 03:49:38,90,Brooklyn,140,Queens,3.1,17.7,26.7,0.0,1
2,2022-12-23 21:54:05,2022-12-23 21:58:03,140,Queens,263,Manhattan,0.78,6.5,11.5,0.0,1
2,2022-12-12 19:50:02,2022-12-12 20:09:53,114,Queens,237,Manhattan,2.98,14.0,18.3,0.0,2
2,2022-12-25 21:08:00,2022-12-25 21:14:15,142,Queens,163,Brooklyn,0.93,-7.9,-12.9,0.0,4
2,2022-12-19 13:05:52,2022-12-19 13:28:42,138,Queens,170,Brooklyn,10.88,44.3,73.32,6.55,1
1,2022-12-20 06:39:32,2022-12-20 06:45:43,262,Manhattan,233,Manhattan,2.8,12.8,20.15,0.0,1
1,2022-12-15 18:01:00,2022-12-15 18:26:57,239,Manhattan,230,Manhattan,1.9,16.0,20.3,0.0,2
2,2022-12-22 03:54:26,2022-12-22 04:19:44,48,Manhattan,148,Queens,5.83,28.9,33.9,0.0,1
1,2022-12-23 01:07:09,2022-12-23 01:18:34,164,Brooklyn,141,Queens,2.9,14.2,20.2,0.0,1
1,2022-12-24 20:31:43,2022-12-24 20:53:23,170,Brooklyn,161,Queens,1.4,14.9,19.9,0.0,2
2,2022-12-25 10:28:42,2022-12-25 10:37:24,43,Bronx,186,Queens,1.75,10.7,17.64,0.0,1
2,2022-12-31 02:22:32,2022-12-31 02:28:17,144,Queens,231,Manhattan,0.61,7.2,14.64,0.0,1
2,2022-12-27 16:01:05,2022-12-27 16:42:06,132,Queens,41,Manhattan,15.23,70.0,92.73,6.55,1
2,2022-12-12 17:40:59,2022-12-12 17:53:40,236,Queens,162,Queens,1.27,9.5,13.8,0.0,2
2,2022-12-13 13:23:09,2022-12-13 13:38:24,237,Manhattan,166,Brooklyn,2.89,13.0,19.56,0.0,1
2,2022-12-14 23:18:34,2022-12-14 23:30:09,249,Manhattan,170,Brooklyn,1.98,9.5,16.3,0.0,1
2,2022-12-05 14:12:54,2022-12-05 14:16:54,162,Queens,237,Manhattan,0.58,4.5,9.75,0.0,1
2,2022-12-13 22:02:07,2022-12-13 22:07:57,142,Queens,239,Manhattan,1.11,6.0,11.76,0.0,1
2,2022-12-17 10:50:59,2022-12-17 11:02:52,186,Queens,48,Manhattan,1.19,8.5,14.75,0.0,1
2,2022-12-23 14:19:38,2022-12-23 14:43:19,237,Manhattan,238,Manhattan,2.48,21.2,25.2,0.0,2
2,2022-12-31 12:15:18,2022-12-31 12:25:05,141,Queens,142,Queens,1.52,10.7,16.17,0.0,1
2,2022-12-07 21:04:03,2022-12-07 21:28:50,142,Queens,13,Manhattan,5.28,20.5,29.16,0.0,1
2,2022-12-17 17:07:06,2022-12-17 17:13:44,238,Manhattan,236,Queens,1.2,6.5,11.76,0.0,1
2,2022-12-26 14:53:49,2022-12-26 14:59:17,163,Brooklyn,161,Queens,0.26,6.5,10.5,0.0,2
1,2022-12-21 11:56:45,2022-12-21 12:06:26,170,Brooklyn,90,Brooklyn,1.2,9.3,17.3,0.0,1
2,2022-12-04 16:06:48,2022-12-04 17:07:33,132,Queens,142,Queens,20.93,52.0,75.47,6.55,1
1,2022-12-19 14:26:18,2022-12-19 14:53:11,48,Manhattan,263,Manhattan,3.5,23.3,27.3,0.0,1
1,2022-12-16 12:25:15,2022-12-16 12:38:06,142,Queens,236,Queens,1.9,10.5,17.25,0.0,1
2,2022-12-05 08:19:16,2022-12-05 08:29:06,239,Manhattan,143,Queens,1.68,8.5,14.16,0.0,1
